Date,NIFTY_Return_1D,NIFTY_Return_5D,NIFTY_Return_20D,NIFTY_SMA50,NIFTY_RSI
2015-08-24,-0.05915098088055637,-0.07883404150906226,-0.06602081090778611,8420.847939453124,24.52116416985585
2015-08-25,0.009181738418811536,-0.06919579083449612,-0.054731894528907254,8417.515947265625,28.886477275005248
2015-08-26,-0.011274391291918318,-0.08278844524575946,-0.06963537180457535,8411.521953125,26.81672575165689
2015-08-27,0.02016210472317792,-0.05061656023259975,-0.056145909466028376,8407.008955078125,35.60278171358645
2015-08-28,0.006667547122292117,-0.03590382990108776,-0.06221830201708978,8402.548955078126,38.29426541247078
2015-08-31,-0.003830365083121179,0.020783686091368825,-0.06692574818963193,8394.912958984374,37.322764358027094
2015-09-01,-0.023264675971940818,-0.012035744959904449,-0.08583525219732002,8382.99896484375,32.02833961535063
2015-09-02,-0.0088429775544967,-0.009606203497005694,-0.09931782700815095,8370.12197265625,30.309307153719956
2015-09-03,0.013735907736166952,-0.015844884194490594,-0.08914676413662748,8358.62197265625,36.00421874251379
2015-09-04,-0.021468770971813878,-0.043351980724425476,-0.10619875372713128,8344.1009765625,31.59831095010675
2015-09-07,-0.01257339958011272,-0.051748147743411965,-0.11339962571364226,8328.90896484375,29.37944764901141
2015-09-08,0.017125760525132927,-0.012535573692284419,-0.09147573015860921,8315.30396484375,35.899004927313996
2015-09-09,0.01695445617094271,0.013165750635771634,-0.06357904834910888,8302.614970703125,41.7322299126376
2015-09-10,-0.0039009540862875447,-0.004461191658411079,-0.0679463535439595,8289.47896484375,40.79673269366893
2015-09-11,0.00015404360706794407,0.017537443050702706,-0.08560729428367209,8275.566953125,40.852897521474006
2015-09-14,0.010649249276883932,0.0414682493797649,-0.07137293933534583,8262.5689453125,44.75533532853136
2015-09-15,-0.005481266771729776,0.018320176588462855,-0.07529037467875355,8248.934951171876,43.160074187031405
2015-09-16,0.008947363530129149,0.010302330811323479,-0.07015773245627044,8239.656953125,46.494327511494646
2015-09-18,0.010475810818002973,0.024884092687229575,-0.046681209597354556,8232.723955078125,50.20996454706301
2015-09-21,-0.0006013361162410247,0.02411003526346933,-0.038897835536240155,8225.0549609375,49.99310238120251
2015-09-22,-0.02069675641963653,-0.007653466289815447,0.00038417210910490773,8212.101953125,43.09774375325065
2015-09-23,0.004345903137800811,0.0021522393948307794,-0.004409506660419504,8199.93896484375,44.7842553595535
2015-09-24,0.002874069312977845,-0.0038801520065666617,0.009837189035092786,8186.83296875,45.93055188215622
2015-09-28,-0.009252056260723118,-0.02332774268148563,-0.0192792754054959,8170.5859765625,42.8385422495801
2015-09-29,0.006105879931557867,-0.01677304926987966,-0.019826465643079882,8155.25498046875,45.42548556552832
2015-09-30,0.013463733413981993,0.017524309055779508,-0.002810068984054226,8142.163974609375,50.750613613719494
2015-10-01,0.00025160714370175974,0.013376290241295719,0.021198687698493535,8130.59296875,50.84843366730278
2015-10-05,0.02117998017986733,0.031873902864268944,0.05213163207042881,8120.30896484375,58.349804563348584
2015-10-06,0.004138299910646515,0.045820092882231656,0.04217051033411101,8111.570966796875,59.67228801798182
2015-10-07,0.0030050657181448504,0.042596879626681794,0.06823601556927739,8104.68796875,60.653338423832324
